Id2,Estimate; Total:,Estimate; Women who had a birth in the past 12 months:,"Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old",Estimate; Women who did not have a birth in the past 12 months:
73430,196,23,14,0,173
73931,137,17,0,0,120
73949,370,16,3,0,354
75020,4586,438,165,0,4148
75021,1525,115,14,14,1410
75058,691,43,4,0,648
75076,1287,33,23,0,1254
75090,5910,555,314,72,5355
75092,5677,183,17,1,5494
75101,143,9,6,0,134
75102,310,84,0,0,226
75103,2569,128,42,0,2441
75105,24,0,0,0,24
75109,871,40,0,0,831
75110,6614,607,227,108,6007
75117,656,45,7,7,611
75119,6451,435,214,10,6016
75124,866,54,16,7,812
75127,429,49,0,0,380
75135,1529,65,44,3,1464
75140,1402,141,65,0,1261
75144,583,14,12,0,569
75148,1236,27,9,0,1209
75152,1171,45,4,0,1126
75153,100,0,0,0,100
75155,684,48,11,0,636
75156,3127,201,60,6,2926
75163,283,16,16,0,267
75165,10287,718,234,0,9569
75167,2436,84,0,0,2352
75401,4489,179,63,0,4310
75402,3275,215,79,19,3060
75410,619,53,38,0,566
75411,195,24,16,0,171
75412,89,0,0,0,89
75413,37,3,3,0,34
75414,707,60,12,3,647
75415,8,0,0,0,8
75416,560,64,40,0,496
75417,448,10,0,0,438
75418,2299,110,100,64,2189
75420,194,9,0,0,185
75421,282,0,0,0,282
75422,553,11,0,0,542
75423,586,51,0,0,535
75426,1154,5,5,0,1149
75428,3263,107,71,14,3156
75431,405,58,50,0,347
75432,745,52,18,0,693
75433,622,15,3,0,607
75435,452,42,30,0,410
75436,414,39,12,12,375
75437,227,26,20,9,201
75438,193,27,3,3,166
75439,283,9,4,0,274
75440,1265,76,60,0,1189
75441,0,0,0,0,0
75446,722,19,0,0,703
75447,291,8,0,0,283
75448,90,45,17,7,45
75449,205,36,9,0,169
75450,87,0,0,0,87
75451,85,0,0,0,85
75453,682,16,0,0,666
75455,6643,480,111,12,6163
75457,1327,12,0,0,1315
75459,1168,30,26,0,1138
75460,5464,319,228,61,5145
75462,2612,48,0,0,2564
75468,95,5,5,0,90
75469,92,21,10,0,71
75470,56,0,0,0,56
75471,291,49,14,2,242
75472,612,70,26,3,542
75473,680,26,0,0,654
75475,21,0,0,0,21
75476,265,11,6,0,254
75477,149,16,4,0,133
75478,187,34,10,0,153
75479,388,5,3,0,383
75480,409,0,0,0,409
75481,52,7,0,0,45
75482,5546,435,52,0,5111
75486,443,22,0,0,421
75487,315,0,0,0,315
75488,144,0,0,0,144
75489,202,17,0,0,185
75490,475,13,5,0,462
75492,86,2,0,0,84
75493,142,8,3,0,134
75494,1810,189,71,0,1621
75496,825,38,26,0,787
75497,423,16,16,0,407
75501,8284,444,281,12,7840
75503,5741,495,141,87,5246
75550,191,6,6,4,185
75551,2476,81,34,25,2395
75554,356,0,0,0,356
75555,230,11,0,0,219
75556,203,21,13,0,182
75558,449,0,0,0,449
75559,1065,53,9,0,1012
75560,135,3,0,0,132
75561,1284,57,21,5,1227
75562,0,0,0,0,0
75563,845,28,0,0,817
75565,96,5,0,0,91
75566,58,0,0,0,58
75567,1206,106,42,0,1100
75568,523,14,14,0,509
75569,807,180,50,50,627
75570,1944,186,73,36,1758
75571,555,79,0,0,476
75572,1011,56,29,6,955
75573,0,0,0,0,0
75574,345,17,14,0,328
75601,3861,299,111,9,3562
75602,5489,397,283,63,5092
75603,1056,82,0,0,974
75604,7421,388,122,13,7033
75605,6542,484,98,58,6058
75630,289,16,16,16,273
75631,603,35,4,0,568
75633,3270,194,123,0,3076
75638,1345,97,32,0,1248
75639,652,0,0,0,652
75640,894,34,0,0,860
75641,99,0,0,0,99
75642,14,0,0,0,14
75643,455,15,11,0,440
75644,2394,209,73,0,2185
75645,2210,39,8,0,2171
75647,2885,197,96,11,2688
75650,1538,20,20,0,1518
75651,601,28,14,0,573
75652,3349,172,111,43,3177
75654,2617,193,67,0,2424
75656,889,24,12,6,865
75657,1715,33,16,0,1682
75661,522,7,0,0,515
75662,6474,309,176,38,6165
75667,204,5,0,0,199
75668,416,40,22,14,376
75669,123,23,0,0,100
75670,4517,413,157,31,4104
75672,3403,283,175,0,3120
75681,466,17,4,0,449
75682,124,0,0,0,124
75683,819,61,21,0,758
75684,1792,209,48,12,1583
75686,3074,257,145,7,2817
75691,538,33,5,0,505
75692,1039,0,0,0,1039
